,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68790452e+18,1.68790452e+18,1.68790452e+18,1.68790452e+18,timestamp,
1,C102-S_velocity,0.0004527758773182,0.0004175822738823,0.0004510516533541,0.0004160388874887,C102-S,Patterson Park
2,C105-S_velocity,0.0005891358428498,0.0005887885661403,0.0005868413639537,0.0005864971191742,C105-S,Patterson Park
3,C111-S_velocity,0.0022171053191768,0.0011337048230854,0.0022067165703392,0.0011294910902631,C111-S,Baltimore Highlands
4,C113-S_velocity,0.000583361297782,0.0003324772016886,0.0005815248263448,0.0003317081617156,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0001302957204524,0.00010203030576,0.00013029660561,0.0001020307166119,C131-S,Fells Point
6,C141-S_velocity,0.0005355463179677,0.0005391960856847,0.0005355624914792,0.0005391867231716,C141-S,Canton
7,C159-S_velocity,0.000391722276999,0.0004059861619673,0.0003917224121839,0.0004059856089219,C159-S,Upper Fells Point
8,C163-S_velocity,0.0004111562093134,0.0004088790340174,0.0004110608623093,0.000408788391872,C163-S,Upper Fells Point
9,C168-S_velocity,0.0006458770626526,0.0006623472350738,0.0006458929957069,0.0006623061046227,C168-S,Canton
10,C182-S_velocity,0.0020507922000911,0.0021094866363849,0.0020511819594643,0.0021098654786726,C182-S,Canton
11,C187-S_velocity,0.0001462111082663,0.0001493826515282,0.0001160650808808,0.0001154757555065,C187-S,Canton
12,C190-S_velocity,0.002040774254386,0.0011172589456361,0.0020376540506581,0.0011162508965341,C190-S,Baltimore Highlands
13,C191-S_velocity,0.000302173615816,0.0001132074206587,0.0003016271048726,0.0001131106953498,C191-S,Patterson Park
14,C211-S_velocity,0.0008164733034573,0.0008275114672594,0.0008147510247286,0.0008259695554413,C211-S,Patterson Park
15,C21-S_velocity,0.0004870974624827,0.0003456317787673,0.0004693994696858,0.0003333133366986,C21-S,Broadway East
16,C226-S_velocity,0.000569808406134,0.0005678201120002,0.0005684485731671,0.0005670921686377,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0006440150905218,0.0003853394029246,0.0006374138011848,0.0003826308608374,C227-S,Kresson
18,C229-S_velocity,0.0002306743682139,0.0002207461642176,0.0002303131319535,0.0002206092184739,C229-S,Kresson
19,C236-S_velocity,0.0001596533457069,0.0001593140774241,0.0001531191478356,0.0001527943394442,C236-S,Orangeville
20,C23-S_velocity,4.023651257131527e-05,1.412385416694869e-05,3.7474506885718776e-05,1.3326573821947313e-05,C23-S,Broadway East
21,C249-S_velocity,0.0007248460425876,0.0007392777808884,0.000722628416977,0.0007368941451939,C249-S,Madison-Eastend
22,C251-S_velocity,0.0003531455410816,0.0002925021998745,0.0003517606072189,0.0002937434558601,C251-S,Madison-Eastend
23,C260-S_velocity,0.0005920683839493,0.000605767882589,0.000592133415441,0.0006058652024794,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0011651725595323,0.0007606709539309,0.0010800589434222,0.0007033129756955,C26-S,Broadway East
25,C274-S_velocity,0.0005028839569601,0.0005065576429146,0.0005023747037169,0.0005061473883431,C274-S,Kresson
26,C279-S_velocity,0.0004294979168014,0.000437009823609,0.0004133728736776,0.0004222986525124,C279-S,Broadway East
27,C27-S_velocity,0.0003065498366982,0.000135818707705,0.0002829008036079,0.000124072683959,C27-S,Broadway East
28,C292-S_velocity,0.0002449305222325,0.0001581516399229,0.0002209917563265,0.0001483092865383,C292-S,Broadway East
29,C2-S_velocity,0.0001233251320491,0.0001301506489933,0.0001246381573544,0.0001311022866601,C2-S,South Clifton Park
30,C301-S_velocity,0.0010288997264336,0.0010706610458133,0.0009453248639451,0.0009932645344394,C301-S,Eager Park
31,C314-S_velocity,0.0003048243346661,0.0003246278824058,0.0003032662137281,0.0003229206436557,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0002104294997436,0.0001434209107862,0.0002084803230461,0.0001420581757742,C317-S,Dunbar-Broadway
33,C319-S_velocity,6.949618369899843e-06,1.9052934356047845e-06,6.797324671615017e-06,1.857679440312208e-06,C319-S,Washington Hill
34,C321-S_velocity,7.721600507472815e-05,4.831164887114325e-05,7.695258047070284e-05,4.813202315477972e-05,C321-S,Washington Hill
35,C325-S_velocity,1.6346626368304045e-05,7.835341705277494e-06,1.6318923631217494e-05,7.832490919856985e-06,C325-S,Fells Point
36,C327-S_velocity,0.0017017118059084,0.0012027812514265,0.0016945464749415,0.0011988819754973,C327-S,Fells Point
37,C328-S_velocity,0.0007077227014045,0.000384806988693,0.0007041750333946,0.0003829427818048,C328-S,Fells Point
38,C338-S_velocity,0.0006462750695179,0.0006450233093237,0.0006416320604814,0.0006403907396173,C338-S,Washington Hill
39,C340-S_velocity,0.0005894461452517,0.0005965611108859,0.0005862371287317,0.0005938055966431,C340-S,Fells Point
40,C34-S_velocity,0.0001447665529356,0.0001527467023477,0.0001413595451063,0.000149483894893,C34-S,South Clifton Park
41,C351-S_velocity,0.0003954910579301,0.0004016887437773,0.0003954894009466,0.0004016867712683,C351-S,Fells Point
42,C355-S_velocity,0.0001636371427514,0.000120642678679,0.0001636379586964,0.0001206429722955,C355-S,Fells Point
43,C361-S_velocity,0.0009930586441412,0.0010218091701172,0.0009930573854746,0.001021805978364,C361-S,Fells Point
44,C362-S_velocity,0.0002690209003145,0.0002288627583641,0.000269022563234,0.0002288631073909,C362-S,Fells Point
45,C37-S_velocity,0.0002952211200463,0.0002430105483989,0.0002823586633372,0.0002335301358913,C37-S,South Clifton Park
