scenario,row,timestamp,C102-S_velocity,C105-S_velocity,C111-S_velocity,C113-S_velocity,C131-S_velocity,C141-S_velocity,C159-S_velocity,C163-S_velocity,C168-S_velocity,C182-S_velocity,C187-S_velocity,C190-S_velocity,C191-S_velocity,C211-S_velocity,C21-S_velocity,C226-S_velocity,C227-S_velocity,C229-S_velocity,C236-S_velocity,C23-S_velocity,C249-S_velocity,C251-S_velocity,C260-S_velocity,C26-S_velocity,C274-S_velocity,C279-S_velocity,C27-S_velocity,C292-S_velocity,C2-S_velocity,C301-S_velocity,C314-S_velocity,C317-S_velocity,C319-S_velocity,C321-S_velocity,C325-S_velocity,C327-S_velocity,C328-S_velocity,C338-S_velocity,C340-S_velocity,C34-S_velocity,C351-S_velocity,C355-S_velocity,C361-S_velocity,C362-S_velocity,C37-S_velocity,C382-S_velocity,C3-S_velocity,C417-S_velocity,C418-S_velocity,C422-S_velocity,C449-S_velocity,C462-S_velocity,C463-S_velocity,C473-S_velocity,C474-S_velocity,C478-S_velocity,C530-S_velocity,C532-S_velocity,C548-S_velocity,C549-S_velocity,C550-S_velocity,C551-S_velocity,C556-S_velocity,C576-S_velocity,C602-S_velocity,C638-S_velocity,C650-S_velocity,C659-S_velocity,C65-S_velocity,C677-S_velocity,C681-S_velocity,C685-S_velocity,C687-S_velocity,C68-S_velocity,C69-S_velocity,C708-S_velocity,C725-S_velocity,C728-S_velocity,C729-S_velocity,C734-S_velocity,C740-S_velocity,C742-S_velocity,C744-S_velocity,C74-S_velocity,C752-S_velocity,C756-S_velocity,C758-S_velocity,C759-S_velocity,C761-S_velocity,C771-S_velocity,C772-S_velocity,C779-S_velocity,C79-S_velocity,C7-S_velocity,C816-S_velocity,C830-S_velocity,C839-S_velocity,C84-S_velocity,C89-S_velocity
Base,0,1687833120000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,1,1687833420000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,2,1687833720000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,3,1687834020000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,4,1687834320000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.742514684253887e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,5,1687834620000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,9.145069623387641e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,6,1687834920000000000,3.8772864501132364e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1664423784403633e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.614097361625712e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4501269463121917e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3700216360878552e-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.3239839003228506e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,7,1687835220000000000,4.605281736085461e-12,8.562498602620271e-09,0.0,5.773262230202577e-13,0.0,0.0,0.0,2.4319354801647867e-09,2.9458985229874723e-09,9.429357630283043e-07,0.0,4.956680318872721e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.9462244724012996e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4890676538600223e-08,0.0,1.0292533151708377e-08,1.272110427851957e-12,9.686036057572067e-09,0.0,0.0,0.0,0.0,0.0,4.083148363281142e-09,2.191235325244671e-09,0.0,0.0,0.0,0.0,0.0,1.2356137403533815e-07,1.8437151416808777e-07,0.0,2.7158371758622187e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69724490621925e-07,0.0,0.0,2.4975653388871815e-09,0.0,2.4155104306653866e-12,0.0,-0.0,0.0,0.0,0.0,3.989209875705774e-08,0.0,2.4195446668212413e-08,0.0,-0.0,0.0,3.2407080471800216e-07,0.0,0.0,0.0,0.0,3.4534473617735173e-07,0.0,0.0,0.0,0.0,0.0,1.4855152987684328e-08,0.0,0.0,0.0,0.0
Base,8,1687835520000000000,5.62474317681564e-09,2.130758070758785e-07,0.0,1.9552725591749053e-10,0.0,0.0,0.0,6.00427023699565e-09,0.0,5.870201744327753e-06,0.0,3.441941663647034e-08,0.0,1.3644624677815783e-07,0.0,0.0,0.0,0.0,3.190190220785295e-08,0.0,3.192624746835899e-07,0.0,0.0,2.889132263586806e-07,3.849326604336013e-08,6.699386242632191e-09,0.0,1.0171363536117213e-12,2.0173103347826213e-08,0.0,8.01220306400199e-09,0.0,0.0,0.0,5.257703100617005e-13,1.6503820532762438e-08,0.0,0.0,2.6147279209319505e-12,2.0497289870911647e-07,3.17567129208933e-09,0.0,0.0,0.0,0.0,6.954927437058082e-08,3.47425307843582e-09,1.0971960412725792e-06,0.0,0.0,3.2596407318009962e-09,0.0,5.5735243035890825e-06,9.532501665140076e-06,0.0,6.857174670638317e-05,1.9278497227915687e-08,0.0,0.0,0.0,1.0409120827227887e-06,0.0,0.0,0.0,3.68477284249211e-08,0.0,2.5047231477112812e-06,1.4452035580766716e-09,0.0,2.2906016812943255e-08,0.0,0.0,2.2886688082071282e-07,-0.0,0.0,0.0,0.0,7.901160100241908e-09,1.4506893551858153e-08,0.0,3.3767996084114814e-07,-0.0,1.2043858516220653e-08,3.8530727538963205e-07,1.1547401976131353e-08,1.3238796366100718e-05,0.0,0.0,3.921623612655756e-05,0.0,0.0,2.176837735137755e-07,0.0,3.81922011377307e-09,7.2552288847934305e-09,0.0,0.0,0.0,2.2096603292460828e-08
Base,9,1687835820000000000,8.47679465654069e-08,2.5080360907935943e-06,0.0,3.95088561546476e-08,0.0,0.0,0.0,1.4311293491368493e-07,2.3577491339353752e-07,1.5810366937625483e-05,0.0,8.061906903052786e-07,0.0,3.2719361667960798e-06,0.0,2.2751790685933068e-09,0.0,0.0,5.746225578769937e-07,6.599329862459115e-13,7.048661794799644e-06,1.274023916141944e-12,1.8064361673366968e-08,2.3601556499484353e-06,8.095903151895221e-07,2.0035450381661562e-07,0.0,9.78042509708548e-13,2.7331406293495806e-07,0.0,0.0,0.0,0.0,8.448428833755846e-09,6.310415474720857e-13,6.755103992403606e-09,0.0,1.7936428076147936e-07,1.3994575253688123e-11,2.5530251308833337e-06,0.0,0.0,7.007567911515814e-09,0.0,1.5319182345470522e-08,1.7990512090111245e-06,3.3354561948832926e-08,2.1322808215512162e-05,0.0,1.2927919574364546e-06,1.5927521766388168e-07,0.0,2.7657292779173338e-05,4.770987213678589e-05,6.872999058840033e-08,0.00016384592586964254,4.002903376895634e-07,0.0,0.0,0.0,1.4813909552703749e-05,0.0,0.0,0.0,9.739166360793292e-07,0.0,1.1262946167887425e-05,9.754484107539305e-08,9.11077410494958e-09,9.71963410285263e-07,0.0,2.6290046672912075e-12,5.050325897091922e-06,-0.0,0.0,7.020001937887991e-07,0.0,1.1486006107059914e-06,2.1986253458553037e-06,1.2492580701040948e-06,1.1150668539792373e-05,-0.0,1.0598248677542865e-06,4.97000081265357e-07,3.483856375756913e-07,0.00012071194115751071,0.0,0.0,0.00020801679298613368,2.6930931609584007e-06,0.0,0.0,0.0,1.625546917239695e-07,4.965184260872918e-07,0.0,0.0,0.0,6.737413055787118e-07
